"VOL"	"VOLJ"	"VOLQ"
19.2717057789	17.459748181	18.7609251809
19.5739427053	17.0051823285	18.971430836
20.2496352454	20.0632864458	21.5160397659
18.7581267693	19.0300416396	22.511024212
18.9623879164	19.27406249	23.6257746082
18.7082264913	17.7225435923	18.9527794473
17.5583325839	16.3996071649	16.3155079075
16.200570162	16.0688532171	16.4200268795
17.5672224715	15.9365700733	16.7922075809
18.3506389645	15.174656225	17.2723634089
19.6108588322	17.399682921	18.8658616044
19.0548224273	18.3899433918	17.5524349924
17.8562732579	17.3099553279	17.59936768
17.3026348251	15.7391009507	17.3483112881
16.992232973	16.2263804308	16.1946474378
16.6783874199	15.0494683232	15.8035069624
17.440059836	14.8752473335	16.715966412
16.6618026428	17.0961955995	17.5161819485
16.384313619	16.7257725533	17.0938652092
16.050331812	13.739513488	15.0166120316
15.7184746166	13.4520789836	14.2574702548
15.849494067	15.2452098373	16.1171312944
15.2144285697	13.7662941367	14.7161769243
15.5820599759	13.2800857116	13.5803587289
16.504876926	14.5873238183	15.4941943822
16.3726266283	14.752659297	15.6499708269
17.441672857	16.3451653899	17.4300040172
18.1500104973	17.4648816444	18.1790757434
18.874365366	18.1946450784	17.9539480087
18.1098021573	16.5289387474	17.0578268847
18.6816660898	16.9546621479	17.4720840136
18.246280095	16.8771274629	17.5725869706
18.0012782954	17.1811808451	17.7155012812
19.587794813	17.494746818	20.0703911986
19.5981770221	17.217759479	21.6789128429
19.2223298359	17.8218538169	19.8239398072
20.0634140058	18.5751902922	18.3789688332
20.0809239368	20.6290468968	20.7880586038
19.1786299632	19.0280437604	21.0085727009
19.1588286054	17.0601921473	19.933106815
19.3928968784	18.122574268	19.2421396264
18.9646978349	17.3292945255	18.511792914
20.435792902	19.6739965193	20.1347179524
20.4202833337	20.4439466979	20.4893669879
20.9052188136	19.7398566084	20.1878793077
19.6652673577	18.6546627952	18.249475265
20.0951191985	19.4590133306	20.6924024332
20.7800095041	19.0475471902	20.5414206421
21.2965069366	18.9291269898	20.0406867042
20.8192028548	20.769493656	20.7077992512
21.0614028758	20.9171131275	19.9587141065
20.9765403357	18.7027400646	19.2220417591
19.1698867079	17.6112329857	17.6748160012
18.9439652669	17.8949795526	18.0725569547
19.8093280201	19.4476632819	19.1307345563
19.5802661175	20.7283882343	19.7635124256
20.188836761	22.031446338	21.3858459329
18.1792990372	19.8472107672	19.1444759791
17.7548507547	18.72925784	18.6182439677
17.2289318147	16.8165314785	17.7292985173
16.4121068243	15.5654085445	15.9577922676
16.2045884936	16.3836619494	15.7260238369
15.0130253194	15.3710289573	16.7921314762
13.8266097099	13.052907295	14.9949652982
13.1843688204	11.6840841891	12.0034276402
12.870213406	11.6770775998	12.9172510431
13.2334442709	11.5479612775	14.9634674363
12.9173329865	11.5577104018	13.6367828064
12.7117169428	11.3733253536	11.787848607
14.1808084522	13.3665634393	12.8296343543
12.9484589444	12.878562356	12.4906568078
13.6214661551	14.483489407	16.3731037573
14.7098312316	15.4407091256	17.3526214658
14.4560809397	13.8277648613	14.4358762589
14.8227523736	13.6335269982	12.5340732824
16.5007559885	15.7312209525	15.0489415034
17.5106649474	17.840872251	17.7325640302
17.6557029729	18.2473296622	16.7282353463
17.8485823627	17.6195057968	16.7266919875
19.67633947	18.3353228515	19.0679266201
20.277734492	19.3934423648	20.0492502848
18.8260717628	18.7528520307	19.2689093322
17.9179529725	17.8954628599	19.0376518667
19.2171790962	19.1967894497	20.7927473245
18.914769394	17.6541858873	20.4452750898
20.2323399576	17.7928865573	20.5384209949
19.5391206912	16.8753676725	17.9956280129
19.8538946266	18.3103862958	20.1637225044
20.7581219007	20.6901786614	22.1197827216
20.9316987843	19.3631664403	19.8699426046
20.7462892596	19.3640030428	20.5257133466
19.4225143403	19.1001722665	19.4388955707
18.2520026658	16.9920619381	17.0712611214
19.608942608	17.1943404778	17.2762205259
20.4870375324	19.0729051414	20.8129575344
20.9231428276	20.2297824525	22.2245091066
21.02105968	21.1690728089	21.9992265702
22.7732010085	23.0189060197	23.6707827542
22.514446987	21.0231950769	23.1500426815
22.3465504392	21.1552536397	24.20522105
22.6577539724	21.6521714803	22.9788447684
21.5418439884	19.8456301907	20.3661042955
22.3394036118	20.2014282014	21.979090813
23.0377384332	22.5350106791	25.557668128
24.4548555232	25.4417185746	26.3802290462
25.4492262625	26.4301907851	26.7259049531
26.0800222942	26.1117321025	26.6803797332
25.7911761748	23.9400932834	24.4245899475
25.5847992209	21.93907776	24.6919257021
26.0231773653	23.9091204958	26.7800488092
24.4973264721	23.1144196118	24.9828317369
24.3927828027	23.4339056057	25.5422039392
22.8601533285	23.9932847305	25.2274388821
21.9722786038	20.9681427918	21.3364275906
22.340510202	20.9392190077	21.3514886656
23.178110338	22.8665030015	24.3604684646
24.6484941185	22.7150279438	24.0351232014
24.7817200659	22.5761641267	23.9361608628
23.6865622916	23.1766610537	24.9860708056
25.2079488338	24.6010715071	24.7884467738
27.3211087537	27.0249055141	26.7444706647
27.7235428258	26.5757318032	25.0603692831
28.309548854	25.6624963062	25.5292199701
28.0578284722	26.4611757937	29.0803741879
26.1581604322	25.2816128422	27.3139243645
24.190133874	23.4134398476	24.1925016467
24.4548767286	23.2861317007	24.5498712482
25.7278951519	25.8504378763	26.7140269071
25.5131783927	25.5063764553	25.7889361141
24.9237228352	23.6404561965	25.8633352475
25.409962031	24.5375853257	26.7049047215
25.1984221295	23.8659325277	25.3081948561
26.6551560148	25.7888997326	27.2553131992
26.0002259958	27.5926843712	27.6890420101
24.0036455729	26.4846757191	25.73693066
24.7777899876	24.9877932221	25.2164930005
23.4921955228	22.7141645557	23.8826562386
22.2793511249	21.9125168987	23.8191504286
21.0976561552	21.1247412228	23.894114282
20.8288163817	19.44188337	23.1970348431
20.8638228094	18.3573265486	21.5891808012
20.8980558018	19.8206384805	20.4934938956
21.0619706551	20.6085901372	21.8742971165
18.6701274063	18.1244279374	20.3411534843
20.6007088077	18.6105112695	19.9682448467
20.1389619959	17.0835208855	18.7665465342
21.0123229261	19.6156353981	19.3833124362
20.667671816	19.756398576	19.9818255248
19.3152257144	17.9826814757	19.2152138844
18.679959164	19.0937240221	20.1580164641
19.445442753	19.0690271957	20.3613634188
18.3950216375	16.6347947986	17.2943772219
18.0754720839	16.7480007967	18.9798968194
17.949099935	15.3911546702	18.3499016254
17.2085569825	14.0417133154	16.8890516998
17.0534788489	16.6259563941	17.0382068092
17.1429907854	18.8552913007	16.4384938674
18.5021723746	19.7240189504	19.1165368056
17.1809981532	18.0932390067	19.6651639173
16.8715575665	16.1294506738	17.746526401
17.4542411461	15.2359072701	16.2825178305
17.7473900782	16.1718781121	17.1518078679
17.829701024	17.8086415346	17.7970579525
17.3685099902	16.4949978314	17.2808975505
17.3949434238	16.0550286765	16.1101830324
18.6989747141	18.9542659565	18.4792272786
18.6846465065	18.7648160468	20.8419383248
18.9306198844	17.7578610147	20.2409134333
17.5729229166	16.5438598725	17.9606830042
18.0739332244	17.8880302871	18.6181490647
17.2507295452	17.3171442986	17.5916131555
17.3792585334	17.7651379488	17.6504299241
16.4320763485	16.2982752451	17.8254445424
16.7933478109	15.6933362068	17.9872436465
16.5190627996	15.3485530218	16.3673260868
17.7564694411	15.4315761325	15.9449256264
18.8370114707	16.9575325807	17.611194868
16.928292708	15.2967887037	17.1400231536
18.657251668	18.4232770204	19.824527657
18.2216460571	19.1539754996	21.3437806632
